2019-06-14 10:41:12,470 logs.py LogsSave 10 DEBUG<->OrderedDict([('C盘使用率：', '90.8%'), ('C剩余空间：', '4GB'), ('D盘使用率：', '77.0%'), ('D剩余空间：', '26GB'), ('E盘使用率：', '72.6%'), ('E剩余空间：', '18GB')])
2019-06-14 10:41:12,470 logs.py LogsSave 10 DEBUG<->OrderedDict([('C盘使用率：', '90.8%'), ('C剩余空间：', '4GB'), ('D盘使用率：', '77.0%'), ('D剩余空间：', '26GB'), ('E盘使用率：', '72.6%'), ('E剩余空间：', '18GB')])
2019-06-14 10:41:12,470 logs.py LogsSave 10 DEBUG<->OrderedDict([('C盘使用率：', '90.8%'), ('C剩余空间：', '4GB'), ('D盘使用率：', '77.0%'), ('D剩余空间：', '26GB'), ('E盘使用率：', '72.6%'), ('E剩余空间：', '18GB')])
2019-06-14 10:41:12,470 logs.py LogsSave 10 DEBUG<->OrderedDict([('C盘使用率：', '90.8%'), ('C剩余空间：', '4GB'), ('D盘使用率：', '77.0%'), ('D剩余空间：', '26GB'), ('E盘使用率：', '72.6%'), ('E剩余空间：', '18GB')])
2019-06-14 10:41:12,470 logs.py LogsSave 10 DEBUG<->OrderedDict([('C盘使用率：', '90.8%'), ('C剩余空间：', '4GB'), ('D盘使用率：', '77.0%'), ('D剩余空间：', '26GB'), ('E盘使用率：', '72.6%'), ('E剩余空间：', '18GB')])
2019-06-14 10:41:12,470 logs.py LogsSave 10 DEBUG<->OrderedDict([('C盘使用率：', '90.8%'), ('C剩余空间：', '4GB'), ('D盘使用率：', '77.0%'), ('D剩余空间：', '26GB'), ('E盘使用率：', '72.6%'), ('E剩余空间：', '18GB')])
2019-06-14 10:41:12,470 logs.py LogsSave 10 DEBUG<->OrderedDict([('C盘使用率：', '90.8%'), ('C剩余空间：', '4GB'), ('D盘使用率：', '77.0%'), ('D剩余空间：', '26GB'), ('E盘使用率：', '72.6%'), ('E剩余空间：', '18GB')])
2019-06-14 10:41:12,470 logs.py LogsSave 10 DEBUG<->OrderedDict([('C盘使用率：', '90.8%'), ('C剩余空间：', '4GB'), ('D盘使用率：', '77.0%'), ('D剩余空间：', '26GB'), ('E盘使用率：', '72.6%'), ('E剩余空间：', '18GB')])
2019-06-14 10:41:12,470 logs.py LogsSave 10 DEBUG<->OrderedDict([('C盘使用率：', '90.8%'), ('C剩余空间：', '4GB'), ('D盘使用率：', '77.0%'), ('D剩余空间：', '26GB'), ('E盘使用率：', '72.6%'), ('E剩余空间：', '18GB')])
2019-06-14 10:41:12,470 logs.py LogsSave 10 DEBUG<->OrderedDict([('C盘使用率：', '90.8%'), ('C剩余空间：', '4GB'), ('D盘使用率：', '77.0%'), ('D剩余空间：', '26GB'), ('E盘使用率：', '72.6%'), ('E剩余空间：', '18GB')])
2019-06-14 10:41:12,470 logs.py LogsSave 10 DEBUG<->OrderedDict([('C盘使用率：', '90.8%'), ('C剩余空间：', '4GB'), ('D盘使用率：', '77.0%'), ('D剩余空间：', '26GB'), ('E盘使用率：', '72.6%'), ('E剩余空间：', '18GB')])
2019-06-14 10:41:12,470 logs.py LogsSave 10 DEBUG<->OrderedDict([('C盘使用率：', '90.8%'), ('C剩余空间：', '4GB'), ('D盘使用率：', '77.0%'), ('D剩余空间：', '26GB'), ('E盘使用率：', '72.6%'), ('E剩余空间：', '18GB')])
2019-06-14 10:41:12,470 logs.py LogsSave 10 DEBUG<->OrderedDict([('C盘使用率：', '90.8%'), ('C剩余空间：', '4GB'), ('D盘使用率：', '77.0%'), ('D剩余空间：', '26GB'), ('E盘使用率：', '72.6%'), ('E剩余空间：', '18GB')])
2019-06-14 10:41:12,470 logs.py LogsSave 10 DEBUG<->OrderedDict([('C盘使用率：', '90.8%'), ('C剩余空间：', '4GB'), ('D盘使用率：', '77.0%'), ('D剩余空间：', '26GB'), ('E盘使用率：', '72.6%'), ('E剩余空间：', '18GB')])
2019-06-14 10:41:12,470 logs.py LogsSave 10 DEBUG<->OrderedDict([('C盘使用率：', '90.8%'), ('C剩余空间：', '4GB'), ('D盘使用率：', '77.0%'), ('D剩余空间：', '26GB'), ('E盘使用率：', '72.6%'), ('E剩余空间：', '18GB')])
